---------------------------------
www.electricblue.eu
EnvLogger version: 1.1
time in UTC
temperature in degrees Celsius
---------------------------------
serial number: 0449 9000 5B06 0B
time diff (sec): 1
---------------------------------
time,temp
2018-08-09 18:02:01,NA
